modelo,preco,quilometragem,ano,infomacoes
Golf,75.900,47.700 Km,2017,Volkswagen Golf Tsi Highline 16v Total Tiptronic
Golf,87.990,67.024 Km,2016,Volkswagen Golf 1.4 Tsi Highline 16v Total Flex 4p Tiptronic
Golf,79.990,98.001 Km,2005,Volkswagen Golf Golf 1.8 Mi Sport 20v 150cv Turbo Gasolina 4p Automático
Golf,26.990,95.000 Km,2016,Volkswagen Golf 1.4 Tsi Variant Highline 16v
Golf,79.900,1 Km,2014,Volkswagen Golf Golf 1.4 Tsi Highline 16v Gasolina 4p Automático
Golf,67.900,64.000 Km,2015,Volkswagen Golf 1.4 Tsi Variant Comfortline 16v
Golf,67.990,89.900 Km,2015,Volkswagen Golf 1.4 Tsi Comfortline 16v Gasolina 4p Manual
Golf,56.980,69.890 Km,2015,Volkswagen Golf 1.4 Tsi Comfortline 16v Gasolina 4p Automático
Golf,87.500,53.000 Km,2017,Volkswagen Golf 1.4 Tsi Highline 16v Total Flex Tiptronic
Golf,55.900,118.000 Km,2014,Volkswagen Golf 1.4 Tsi Comfortline 16v Gasolina 4p Automático
Golf,63.890,83.000 Km,2015,Volkswagen Golf Golf Highline 1.4 Tsi 140cv Aut.
Golf,67.900,54.000 Km,2014,Volkswagen Golf 1.4 Tsi Highline 16v Gasolina 4p Automático
Golf,95.990,34.000 Km,2017,Volkswagen Golf 1.4 Tsi Highline 16v Total
Golf,116.900,38.000 Km,2018,Volkswagen Golf Variant 1.4 Highline 250 Tsi Flex Aut. 5p
Golf,177.000,16.000 Km,2019,Volkswagen Golf 2.0 Tsi Gti 5p
Golf,97.900,103.000 Km,2015,Volkswagen Golf 2.0 Tsi Gti 16v 220cv Turbo
Golf,163.990,29.000 Km,2017,Volkswagen Golf 2.0 Tsi Gti 16v Turbo Gasolina 4p Automático
Golf,45.990,169.500 Km,2011,Volkswagen Golf Golf Sportline Limited Edition
Golf,31.900,140.000 Km,2008,Volkswagen Golf 1.6 Sportline Total Flex 5p
Golf,67.900,128.000 Km,2015,Volkswagen Golf 1.4 Tsi Highline 16v Gasolina 4p Automático
Golf,74.900,70.000 Km,2016,Volkswagen Golf 1.4 Tsi Variant Highline 16v Gasolina 4p Automático
Golf,71.900,46.137 Km,2016,Volkswagen Golf Comfortline 1.6 Msi
Golf,41.890,48.000 Km,2012,Volkswagen Golf 2.0 Mi Sportline 8v Flex 4p Tiptronic
Golf,67.890,92.000 Km,2014,Volkswagen Golf 1.4 Tsi Comfortline 16v Gasolina 4p Automático
Golf,115.000,38.000 Km,2015,Volkswagen Golf 2.0 Tsi Gti 16v Turbo Gasolina 4p Automático
Golf,65.890,85.000 Km,2014,Volkswagen Golf 1.4 Tsi Highline 16v Gasolina 4p Automático
Golf,64.900,80.166 Km,2015,Volkswagen Golf Golf Highline 1.4 Tsi 140cv Aut.
Golf,61.890,92.700 Km,2016,Volkswagen Golf 1.4 Tsi Variant Comfortline 16v Gasolina 4p Manual
Golf,39.900,131.000 Km,1997,Volkswagen Golf Gti 2.0
Golf,56.990,110.228 Km,2015,Volkswagen Golf 1.4 Tsi Comfortline 16v Gasolina 4p Automático
Golf,52.900,48.144 Km,2007,Volkswagen Golf 1.8 Gti Aut. 5p
Golf,67.900,98.786 Km,2014,Volkswagen Golf 1.4 Tsi Highline 16v Gasolina 4p Automático
Golf,79.990,67.024 Km,2016,Volkswagen Golf 1.4 Tsi Highline 16v Total Flex 4p Tiptronic
Golf,32.800,1 Km,2009,Volkswagen Golf 1.6 Vht Sportline Total Flex 5p
Golf,69.788,99.999 Km,2014,Volkswagen Golf 1.4 Tsi Highline 16v Gasolina 4p Manual
Golf,7.990,234.376 Km,1997,Volkswagen Golf 1.8 Mi 8v Gasolina 4p Manual
Golf,56.990,146.328 Km,2014,Volkswagen Golf 1.4 Tsi Comfortline 16v
Golf,67.900,125.000 Km,2014,Volkswagen Golf 1.4 Tsi 140cv Aut.
Golf,79.900,95.000 Km,2016,Volkswagen Golf 1.4 Tsi Variant Highline 16v
Golf,17.900,139.206 Km,2002,Volkswagen Golf Golf 2.0 Aut
Golf,95.990,61.000 Km,2014,Volkswagen Golf 2.0 Tsi Gti 16v Turbo Gasolina 4p Automático
Golf,46.000,148.000 Km,2001,Volkswagen Golf 1.8 Gti 3p
Golf,35.000,32.000 Km,2004,Volkswagen Golf 1.6 Plus Ar Digital
Golf,71.990,81.700 Km,2015,Volkswagen Golf 1.4 Tsi Comfortline 5p Automática
Golf,41.500,98.000 Km,2013,Volkswagen Golf 1.6 Vht Sportline Total Flex 5p
Golf,15.990,180.000 Km,1996,Volkswagen Golf 1.8 Gl
Golf,95.900,77.000 Km,2014,Volkswagen Golf 2.0 Tsi Gti 5p
Golf,21.800,100 Km,2001,Volkswagen Golf 2.0 Comfortline 5p
Golf,85.900,72.000 Km,2015,Volkswagen Golf Variant Golf 1.4 Tsi Variant Highline 16v Total Flex 4p Tiptronic
Golf,51.000,70.000 Km,2014,Volkswagen Golf 2.0 Sportline Total Flex 5p
Golf,71.900,80.000 Km,2017,Volkswagen Golf 1.0 Tsi Comfortline Flex 5p
Golf,64.990,59.650 Km,2016,Volkswagen Golf Golf Comfortline 1.6 Msi Flex. Mec.
Golf,69.900,65.000 Km,2016,Volkswagen Golf Golf Comfortline Aa
Golf,63.900,148.350 Km,2015,Volkswagen Golf 1.4 Tsi Highline 16v Gasolina 4p Automatico 2015
Golf,55.900,25.000 Km,1996,Volkswagen Golf 1.8  Gl 1.8 Gl
Golf,66.900,45.712 Km,2017,Volkswagen Golf 1.0 Tsi Comfortline 12v Total Flex 4p Manual
Jetta,53.900,95.000 Km,2012,Volkswagen Jetta 2.0 Tsi Highline 200cv
Jetta,50.900,110.000 Km,2015,Volkswagen Jetta 2.0 Trendline Flex 4p Tiptronic
Jetta,66.990,136.000 Km,2015,Volkswagen Jetta 2.0 Tsi Highline
Jetta,93.800,55.000 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Comfortline
Jetta,88.490,49.852 Km,2017,Volkswagen Jetta 2.0 Tsi Highline 211cv Gasolina 4p Tiptronic
Jetta,56.900,178.000 Km,2013,Volkswagen Jetta Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,99.990,32.000 Km,2018,Volkswagen Jetta 1.4 Tsi Comfortline 4p
Jetta,43.400,74.000 Km,2010,Volkswagen Jetta 2.5 4p
Jetta,29.998,200.000 Km,2008,Volkswagen Jetta 2.5 170cv
Jetta,64.900,64.900 Km,2014,Volkswagen Jetta 2.0 Tsi Highline 4p
Jetta,47.890,71.000 Km,2012,Volkswagen Jetta Variant 2.5 5p
Jetta,159.900,27.000 Km,2019,Volkswagen Jetta Jetta 2.0 350 Tsi Gasolina Gli Dsg
Jetta,72.900,45.000 Km,2016,Volkswagen Jetta 2.0 Tsi Highline 211cv
Jetta,45.990,115.000 Km,2012,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
Jetta,36.900,83.837 Km,2008,Volkswagen Jetta Variant Jetta Variant 2.5 20v 170cv Tiptronic
Jetta,119.888,28.000 Km,2019,Volkswagen Jetta 1.4 Comfortline 250 Tsi Flex Aut. 4p
Jetta,84.900,46.000 Km,2016,Volkswagen Jetta 1.4 Tsi Comfortline 4p
Jetta,58.890,77.878 Km,2013,Volkswagen Jetta 2.0 Tsi Highline 4p 211 Hp
Jetta,75.000,58.000 Km,2017,Volkswagen Jetta 1.4 Comfortline Tsi Aut. (br) 4p
Jetta,53.000,58.000 Km,2013,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
Jetta,65.890,115.557 Km,2016,Volkswagen Jetta 1.4 16v Tsi Trendline
Jetta,79.990,45.000 Km,2018,Volkswagen Jetta 1.4 16v Tsi Comfortline
Jetta,34.990,100.000 Km,2009,Volkswagen Jetta 2.5 I 20v 150cv Tip
Jetta,45.900,99.950 Km,2011,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
Jetta,111.000,37.947 Km,2018,Volkswagen Jetta Jetta R Line 250 Tsi 1.4 Flex 16v Aut
Jetta,106.890,39.995 Km,2018,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,64.800,73.022 Km,2016,Volkswagen Jetta 2.0 Comfortline Flex 4p Tiptronic
Jetta,27.900,122.700 Km,2007,Volkswagen Jetta 2.5 4p
Jetta,93.990,35.000 Km,2018,Volkswagen Jetta 1.4 250 Tsi Total Flex Comfortline Tiptronic
Jetta,60.990,74.059 Km,2016,Volkswagen Jetta 1.4 16v Tsi Trendline Gasolina 4p Manual
Jetta,62.900,111.500 Km,2016,Volkswagen Jetta 1.4 16v Tsi Trendline Gasolina 4p Tiptronic
Jetta,30.900,155.000 Km,2009,Volkswagen Jetta Variant 2.5 5p
Jetta,79.900,152.000 Km,2017,Volkswagen Jetta Jetta Highline 2.0 Tsi 16v 4p Tiptronic
Jetta,125.000,27.000 Km,2019,Volkswagen Jetta 1.4 R-line 250 Tsi Flex Aut. 4p
Jetta,113.900,17.400 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,54.900,55.000 Km,2015,Volkswagen Jetta 2.0 Comfortline Flex 4p Tiptronic
Jetta,54.900,69.000 Km,2016,Volkswagen Jetta 2.0 Trendline Flex 4p Tiptronic
Jetta,119.900,25.600 Km,2018,Volkswagen Jetta 1.4 R-line 250 Tsi Flex Aut. 4p
Jetta,59.900,120.000 Km,2015,Volkswagen Jetta Conforline
Jetta,51.990,85.000 Km,2012,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,57.990,102.000 Km,2014,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
Jetta,59.500,69.570 Km,2013,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,53.998,73.400 Km,2011,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,62.900,111.368 Km,2016,Volkswagen Jetta 2.0 Comfortline Flex Aut 4p
Jetta,133.890,7 Km,2020,Volkswagen Jetta 1.4 250 Tsi Total Comfortline
Jetta,73.570,80.000 Km,2014,Volkswagen Jetta Jetta Highline Tsi 2.0 211cv
Jetta,125.900,19.550 Km,2020,Volkswagen Jetta 1.4 250 Tsi Total Comfortline
Jetta,39.890,111.450 Km,2011,Volkswagen Jetta 2.5 I Variant 20v 170cv Gasolina 4p Tiptronic
Jetta,44.890,88.956 Km,2011,Volkswagen Jetta 2.0 Comfortline 120cv Flex 4p Tiptronic
Jetta,56.990,87.000 Km,2012,Volkswagen Jetta Tsi Highline 200cv Tiptronic
Jetta,91.800,46.500 Km,2017,Volkswagen Jetta 2.0 Tsi Highline (mx) 4p
Jetta,34.900,67.000 Km,2010,Volkswagen Jetta 2.5 4p
Jetta,53.900,74.000 Km,2012,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,27.000,130.000 Km,2008,Volkswagen Jetta 2.5 4p
Jetta,99.800,31.600 Km,2019,Volkswagen Jetta Jetta Comfort. 250 Tsi 1.4 Flex 16v Aut.
Jetta,55.000,100.000 Km,2014,Volkswagen Jetta 2.0 Tsi Highline 4p
Jetta,49.990,80.000 Km,2013,Volkswagen Jetta Highline Tiptronic 2.0 Tsi
Jetta,158.900,35.500 Km,2019,Volkswagen Jetta Gli 2.0 Ag
Jetta,49.990,72.298 Km,2013,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
Jetta,63.800,70.000 Km,2016,Volkswagen Jetta 2.0 Tsi Highline 4p
Jetta,74.999,99.000 Km,2017,Volkswagen Jetta Comfortline Tiptronic 1.4 Tsi
Jetta,90.990,69.000 Km,2018,Volkswagen Jetta 1.4 Tsi Comfortline 4p
Jetta,78.990,57.500 Km,2018,Volkswagen Jetta 1.4 250 Tsi Flex Aut. 4p
Jetta,67.490,103.227 Km,2016,Volkswagen Jetta 1.4 16v Tsi Comfortline Gasolina 4p Tiptronic
Jetta,44.999,150.000 Km,2012,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
Jetta,73.900,100.300 Km,2015,Volkswagen Jetta 2.0 Tsi Highline 211cv
Jetta,53.999,73.400 Km,2011,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,30.000,115.000 Km,2009,Volkswagen Jetta Variant 2.5 5p
Jetta,51.990,94.000 Km,2014,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
Jetta,108.900,84.000 Km,2019,Volkswagen Jetta Jetta R - Line 250 Tsi
Jetta,35.950,115.613 Km,2012,Volkswagen Jetta 2.5 I Variant 20v 170cv Gasolina 4p Tiptronic
Jetta,54.900,87.165 Km,2012,Volkswagen Jetta Jetta 2.0 Comfortline Tiptronic (flex)
Jetta,46.900,40.000 Km,2013,Volkswagen Jetta 2.0 Comfortline 120cv Flex 4p Manual
Jetta,106.900,38.400 Km,2019,Volkswagen Jetta Jetta 1.4 16v Tsi Comfortline
Jetta,88.900,999 Km,2017,Volkswagen Jetta Jetta Highline 2.0 Tsi 16v 4p Tiptronic
Jetta,134.200,0 Km,2020,Volkswagen Jetta 1.4 250 Tsi Comfortline
Jetta,134.200,0 Km,2020,Volkswagen Jetta 1.4 250 Tsi Comfortline
Jetta,44.999,100.000 Km,2011,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,59.890,68.000 Km,2012,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
Jetta,141.600,0 Km,2020,Volkswagen Jetta 1.4 250 Tsi R-line
Jetta,176.900,21.792 Km,2020,Volkswagen Jetta Jetta 2.0 Gli 350 Tsi 4p Automático
Jetta,54.900,0 Km,2013,Volkswagen Jetta 2.0 Comfortline 120cv Flex 4p Manual
Jetta,89.900,34.000 Km,2018,Volkswagen Jetta 2.0 Highline Dsg
Jetta,58.490,88.000 Km,2013,Volkswagen Jetta Comfortline 2.0 T.flex 8v 4p Tipt.
Jetta,61.900,107.000 Km,2013,Volkswagen Jetta Jetta 2.0 Tsi Highline Dsg
Jetta,99.900,43.660 Km,2019,Volkswagen Jetta 1.4 Comfortline 250 Tsi Flex Aut. 4p
Jetta,118.190,5.726 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,121.990,12.000 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,118.190,25.000 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,118.190,11.599 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,118.190,20.000 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,99.990,19.527 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex Comfortline Tiptronic
Jetta,118.190,4.980 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,116.990,33.847 Km,2020,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,116.990,30.000 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Jetta,118.190,11.599 Km,2019,Volkswagen Jetta 1.4 250 Tsi Total Flex R-line Tiptronic
Kombi,55.000,98.884 Km,2012,Volkswagen Kombi Food Truck
Kombi,34.999,180.000 Km,2014,Volkswagen Kombi Kombi
Kombi,28.700,89.000 Km,1999,Volkswagen Kombi 1.6 Std 3p Gasolina
Kombi,32.900,140.000 Km,2012,Volkswagen Kombi 1.4 Lotação Total Flex 3p
Kombi,50.000,48.000 Km,2009,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,33.000,141.949 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,54.900,49.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,44.900,101.000 Km,2012,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,53.250,53.250 Km,2013,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,24.000,295.000 Km,2009,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,35.890,100.000 Km,2013,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,36.500,132.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,29.990,198.701 Km,2011,Volkswagen Kombi 1.4 Lotação Total Flex 3p
Kombi,23.900,125.000 Km,2007,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,27.000,225.000 Km,2012,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,42.900,63.000 Km,2013,Volkswagen Kombi 1.4 Escolar Total Flex 3p
Kombi,36.000,136.000 Km,2013,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,45.900,61.000 Km,2013,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,38.500,95.000 Km,2014,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,35.900,159.000 Km,2013,Volkswagen Kombi 1.4 Mi Std Lotação 8v Flex 3p Manual
Kombi,36.000,170.000 Km,2013,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,23.900,40.000 Km,2011,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,20.000,195.000 Km,2001,Volkswagen Kombi 1.6 3p Gasolina
Kombi,45.900,83.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,31.500,202.000 Km,2012,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,43.500,80.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,15.900,88.000 Km,1990,Volkswagen Kombi Kombi Furgão 1990
Kombi,55.900,67.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,34.900,176.000 Km,2013,Volkswagen Kombi 1.4 Mi Std Lotação 8v Flex 3p Manual
Kombi,26.900,120.000 Km,2009,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,36.900,172.000 Km,2012,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,36.900,172.000 Km,2012,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,33.000,184.000 Km,2011,Volkswagen Kombi 1.4 Lotação Total Flex 3p
Kombi,27.900,190.000 Km,2012,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,42.990,92.000 Km,2014,Volkswagen Kombi Kombi Standard 1.4 (flex)
Kombi,46.900,250.000 Km,2008,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,25.990,177.000 Km,2009,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,34.900,187.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,32.890,142.868 Km,2013,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,25.000,320.000 Km,2006,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,46.900,50.000 Km,2013,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,34.900,150.000 Km,2007,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,44.900,89.000 Km,2010,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,48.900,99.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,31.500,214.000 Km,2012,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,41.900,61.000 Km,2015,Jinbei Topic Van 2.0 16v Sl 4p
Kombi,33.900,49.000 Km,2013,Volkswagen Furgão Volkswagen Kombi Furgão Furgao 1.4 (flex)
Kombi,31.900,101.000 Km,2012,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,18.900,1 Km,2007,Peugeot 307 Feline/griffe 2.0/2.0 Flex 16v 5p Aut
Kombi,57.500,44.000 Km,1983,Volkswagen Kombi Kombi 1.6
Kombi,54.900,49.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,35.890,100.000 Km,2013,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,38.500,95.000 Km,2014,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,36.000,170.000 Km,2013,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,31.500,202.000 Km,2012,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,34.900,176.000 Km,2013,Volkswagen Kombi 1.4 Mi Std Lotação 8v Flex 3p Manual
Kombi,26.900,120.000 Km,2009,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,36.900,172.000 Km,2012,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,33.000,184.000 Km,2011,Volkswagen Kombi 1.4 Lotação Total Flex 3p
Kombi,34.900,150.000 Km,2007,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,17.900,100.000 Km,2001,Volkswagen Kombi 1.6 3p Gasolina
Kombi,155.000,64.000 Km,2010,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,32.900,240.000 Km,2010,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,26.990,4 Km,2000,Volkswagen Kombi 1.6 Mi Pick-up Cs 8v
Kombi,38.000,174.000 Km,2011,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,24.900,124.100 Km,2008,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,64.900,1.001 Km,2012,Volkswagen Kombi 1.4 Mi Std Lotação 8v Flex 3p Manual
Kombi,30.000,999.999 Km,2005,Volkswagen Kombi 1.6 3p Gasolina
Kombi,16.900,100.000 Km,1999,Volkswagen Kombi 1.6 Std 3p Gasolina
Kombi,28.800,119.000 Km,2011,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,35.900,59.700 Km,1978,Volkswagen Fusca Vw Fusca 1300l Kombi
Kombi,27.990,172.000 Km,2009,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,29.400,151.500 Km,1999,Volkswagen Kombi 1.6 2p Gasolina
Kombi,49.900,70.000 Km,1988,Volkswagen Kombi 1.6 Álcool
Kombi,22.900,1 Km,2007,Ford Ecosport Xls 1.6/ 1.6 Flex 8v 5p
Kombi,16.500,1 Km,2004,Volkswagen Kombi 1.6 3p Gasolina
Kombi,19.800,250.000 Km,2006,Volkswagen Kombi Kombi Furgão
Kombi,19.900,74.650 Km,1996,Volkswagen Kombi Standard
Kombi,8.900,1 Km,2000,Peugeot 306 Break Soleil 1.8 16v 5p
Kombi,36.990,0 Km,2014,Volkswagen Kombi 1.4 Mi Furgão 8v Flex 3p Manual
Kombi,35.000,72.000 Km,2006,Volkswagen Kombi 1.6 3p Álcool
Kombi,27.900,86.000 Km,1996,Volkswagen Kombi Kombi Ambulância Karmann Ghia Papa Tudo
Kombi,21.000,184.050 Km,2008,Volkswagen Kombi 1.4 Standard Total Flex 3p
Kombi,12.000,1 Km,1996,Volkswagen Kombi Passageiro
Kombi,21.900,134.000 Km,2006,Ford Ecosport 1.6 Xl 8v - Aceito Troca
Kombi,16.900,89.000 Km,2006,Volkswagen Fox Palio Wekend 1.8 Flex Adventure
Kombi,34.900,145.000 Km,2014,Volkswagen Kombi 1.4 Mi Furgão 8v
Kombi,59.900,93.000 Km,2007,Volkswagen Kombi 1.4 Total Flex 3p
Kombi,39.990,9.500 Km,1992,Volkswagen Kombi Kombi Pick-up
Kombi,28.900,0 Km,2010,Volkswagen Kombi 1.4 Mi Std 8v Flex 3p Manual
Kombi,21.500,258.000 Km,2008,Volkswagen Kombi 1.4 Lotação Total Flex 3p
Kombi,55.000,87.000 Km,1996,Volkswagen Kombi Kombi
Kombi,16.000,200.000 Km,1975,Volkswagen Kombi Kombi
Kombi,23.900,233.662 Km,2013,Volkswagen Kombi Kombi 1.4 Mi Furgão 8v Flex 3p Manual
Kombi,25.900,95.000 Km,2009,Volkswagen Kombi 1.4 Mi Std 8v
Kombi,24.900,104.000 Km,2000,Volkswagen Kombi 1.6 Std 3p Gasolina
Parati,134.900,152.000 Km,2011,Volkswagen Parati 1.6 Surf Total Flex 5p
Parati,30.900,100.000 Km,1990,Volkswagen Parati Parati Cl 1.6 2p
Parati,12.900,239.500 Km,2004,Land Rover Defender 2.5 90 Csw 3p
Parati,130.000,145.000 Km,1999,Volkswagen Parati 2.0 16v Gti 5p
Parati,25.000,100.000 Km,2012,Volkswagen Parati 1.6 Total Flex 5p
Parati,25.000,197.000 Km,1996,Volkswagen Parati Gli 1.8 8v
Parati,12.900,226.531 Km,2010,Volkswagen Parati 1.6 Total Flex 5p
Parati,21.986,232.000 Km,1985,Volkswagen Parati 1.6 Alcool 2p
Parati,7.900,135.000 Km,1997,Volkswagen Parati Gl
Parati,7.950,173.000 Km,1999,Seat Cordoba 1.8 Sxe 4p
Parati,25.000,209.000 Km,2008,Volkswagen Parati 1.8 Plus Total Flex 5p
Parati,27.900,155.000 Km,2006,Volkswagen Parati 1.6 Mi Track Field 8v Flex 4p Manual G.iv
Parati,25.900,113.000 Km,2009,Volkswagen Parati 1.6 Mi Flex G.iv 4p Manual 8v - Completa
Parati,23.899,249.000 Km,2001,Volkswagen Parati 1.8 Parati 1.8
Parati,16.990,160.000 Km,1996,Volkswagen Parati Parati Cl 1.6 1995
Parati,9.500,204.000 Km,1995,Volkswagen Parati Cl 1.8
Parati,19.990,186.663 Km,2000,Volkswagen Parati 1.0 Mi 16v Gasolina 4p Manual G.iii
Parati,12.500,99.000 Km,1991,Volkswagen Parati Gls 1.6 Turbo
Parati,39.900,1 Km,2007,Volkswagen Parati 1.6 Track & Field Total Flex 5p
Parati,20.980,114.000 Km,2007,Volkswagen Parati 1.6 Mi Track & Field 8v Flex 4p Manual G.iv
Parati,26.788,170.000 Km,1998,Volkswagen Parati 16v
Parati,10.990,0 Km,1996,Volkswagen Parati Cl 1.6
Parati,13.800,87.000 Km,2001,Volkswagen Parati 1.0 Turbo 5p
Parati,23.900,0 Km,2008,Volkswagen Parati Parati Cl 1.8
Parati,16.900,1 Km,2010,Volkswagen Parati 1.6 Mi 8v G.iv - Aceito Troca
Parati,22.900,149.000 Km,2014,Chevrolet S10 2.4 Lt Cab. Dupla 4x2 Flex 4p
Parati,65.000,88.000 Km,1995,Volkswagen Parati Cl
Parati,23.900,0 Km,1995,Volkswagen Parati 1.8s Gls 8v Álcool 2p Manual
Parati,50.900,261.335 Km,2009,Volkswagen Parati 1.6 Mi Surf 8v Flex 4p Manual G.iv
Parati,26.499,304.030 Km,1995,Volkswagen Parati Parati Cl 1.6
Parati,15.900,211.000 Km,2007,Volkswagen Parati 1.8 Track & Field Total Flex 5p
Parati,24.500,107.000 Km,1999,Volkswagen Parati 1.6 Mi Cl 5p Gasolina
Parati,22.000,110.000 Km,2010,Volkswagen Parati 1.6 Total Flex 5p
Parati,29.000,89.000 Km,2006,Volkswagen Parati 1.8 Plus Total Flex 5p
Parati,16.900,155.000 Km,2006,Volkswagen Parati 1.6 Mi Track & Field 8v G.iv
Parati,25.900,121.000 Km,2003,Volkswagen Parati Parati Tour 1.0 16v 4p
Parati,15.300,189.000 Km,1996,Volkswagen Parati Parati Atlanta 1.8 I  2p
Parati,10.900,177.655 Km,2005,Volkswagen Parati 1.6 City Total Flex 5p
Parati,21.700,120.000 Km,2001,Volkswagen Parati 1.0 Mi Plus 16v Gasolina 4p Manual G.iii
Parati,24.999,96.100 Km,1991,Volkswagen Parati Parati Cl 1.8 2p
Parati,19.900,175 Km,2007,Volkswagen Parati Parati Track E Field 1.8mi 4p
Parati,24.800,215.200 Km,2002,Volkswagen Parati Tour 1.8 Mi 8v
Parati,18.900,166.000 Km,1993,Volkswagen Parati Gl 1.6
Parati,18.000,152.000 Km,2013,Volkswagen Parati 1.6 Surf Total Flex 5p
Parati,30.900,200.000 Km,1997,Volkswagen Parati Gl
Parati,9.800,1.500 Km,2001,Volkswagen Parati 1.0 Turbo 5p
